"label_slug","label_name","release_date","title","artists","catalog_number","beatport_url"
"siyu-rec","SiYu Rec","2026-03-06","Gods of Nothing","Jellyfish Syndrome","SY0053","https://www.beatport.com/release/gods-of-nothing/5913608"
"siyu-rec","SiYu Rec","2026-01-30","StreamSoul","Arabesko","SY0050","https://www.beatport.com/release/streamsoul/5766796"
"siyu-rec","SiYu Rec","2026-01-16","Road Rage","Jellyfish Syndrome","SY0049","https://www.beatport.com/release/road-rage/5754828"
"siyu-rec","SiYu Rec","2025-11-28","Cataclisma","Alchemistry","SY0045","https://www.beatport.com/release/cataclisma/5564998"
"siyu-rec","SiYu Rec","2025-11-21","Moonshine","Jellyfish Syndrome","SY0046","https://www.beatport.com/release/moonshine/5565071"
"siyu-rec","SiYu Rec","2025-11-01","Replicated","Jellyfish Syndrome","SY0044","https://www.beatport.com/release/replicated/5456158"
"siyu-rec","SiYu Rec","2025-10-17","Undestructable","SiYu","SY0043","https://www.beatport.com/release/undestructable/5422868"
"siyu-rec","SiYu Rec","2025-10-10","We Can See You","Dubioza Kolektiv, Mime Time, Skazka-Agada, Jellyfish Syndrome, Alchemistry, Salvador, TATA Box, Sefer Semir, Biowave, ITEM 93, SiYu","SY0042","https://www.beatport.com/release/we-can-see-you/5391878"
"siyu-rec","SiYu Rec","2025-10-03","Miraj","Psychic Distance","SY0040","https://www.beatport.com/release/miraj/5391864"
"siyu-rec","SiYu Rec","2025-09-30","Activation Code","TATA Box","SY0023","https://www.beatport.com/release/activation-code/5359098"
"siyu-rec","SiYu Rec","2025-09-26","Pom Pa","Jellyfish Syndrome","SY0041","https://www.beatport.com/release/pom-pa/5380351"
"siyu-rec","SiYu Rec","2025-09-12","Elef Laila","EchoNomika","SY0038","https://www.beatport.com/release/elef-laila/5306264"
"siyu-rec","SiYu Rec","2025-09-05","2nd Fish","2nd ID","SY0039","https://www.beatport.com/release/2nd-fish/5304227"
"siyu-rec","SiYu Rec","2025-08-29","The Universe of Your Eyes","Alchemistry","SY0037","https://www.beatport.com/release/the-universe-of-your-eyes/5229314"
"siyu-rec","SiYu Rec","2025-08-15","Cosmic Zoo","Jellyfish Syndrome","SY0036","https://www.beatport.com/release/cosmic-zoo/5195494"
"siyu-rec","SiYu Rec","2025-08-08","Caribbean Connection","TATA Box","SY0027","https://www.beatport.com/release/caribbean-connection/5195496"
"siyu-rec","SiYu Rec","2025-07-18","Sunrise Dimension","TATA Box","SY0028","https://www.beatport.com/release/sunrise-dimension/5144878"
"siyu-rec","SiYu Rec","2025-07-11","Ultimate Pain","Biowave, ITEM 93","SY0035","https://www.beatport.com/release/ultimate-pain/5139840"
"siyu-rec","SiYu Rec","2025-06-20","Dark Water of Life","Jellyfish Syndrome","SY0034","https://www.beatport.com/release/dark-water-of-life/5094783"
"siyu-rec","SiYu Rec","2025-06-13","1999","Jellyfish Syndrome","SY0031","https://www.beatport.com/release/1999/5071376"
"siyu-rec","SiYu Rec","2025-06-06","One More Time","Dubioza Kolektiv","SY0032","https://www.beatport.com/release/one-more-time/5085476"
"siyu-rec","SiYu Rec","2025-05-30","Feel Good","Triex, Flow Theory","SY0033","https://www.beatport.com/release/feel-good/5079852"
"siyu-rec","SiYu Rec","2025-05-16","Cruise Control","TATA Box","SY0025","https://www.beatport.com/release/cruise-control/5055630"
"siyu-rec","SiYu Rec","2025-05-09","Negev","2nd ID","SY0030","https://www.beatport.com/release/negev/5055115"
"siyu-rec","SiYu Rec","2025-04-25","Whale Tale","Jellyfish Syndrome","SY0022","https://www.beatport.com/release/whale-tale/5012076"
"siyu-rec","SiYu Rec","2025-04-18","Xenon","Sefer Semir","SY0021","https://www.beatport.com/release/xenon/4999331"
"siyu-rec","SiYu Rec","2025-03-28","Life's Art","Alchemistry","SU0006","https://www.beatport.com/release/lifes-art/4971650"
