"label_slug","label_name","release_date","title","artists","catalog_number","beatport_url"
"zalmanim-records","Zalmanim Records","2026-03-01","Order of Stones","Simon Rose","ZL0145","https://www.beatport.com/release/order-of-stones/5893412"
"zalmanim-records","Zalmanim Records","2026-01-16","New Dawn","2nd ID","ZL0144","https://www.beatport.com/release/new-dawn/5760452"
"zalmanim-records","Zalmanim Records","2026-01-16","Organic Fatalic","Simon Rose","ZL0143","https://www.beatport.com/release/organic-fatalic/5755684"
"zalmanim-records","Zalmanim Records","2025-12-12","Zalmanim 2025","Fape, Jabba 2.3, Byrd, Simon Rose, Royal VegA, TomDan, Ralmoon, 2nd ID, Oren Levi, Maor Azulay","ZL0139","https://www.beatport.com/release/zalmanim-2025/5651854"
"zalmanim-records","Zalmanim Records","2025-12-12","Old Heart","Royal VegA","ZL0142","https://www.beatport.com/release/old-heart/5583307"
"zalmanim-records","Zalmanim Records","2025-12-10","בְּרִיחָה","Simon Rose","SY0141","https://www.beatport.com/release/---/5571005"
"zalmanim-records","Zalmanim Records","2025-12-05","Pulsar","TomDan","ZL0140","https://www.beatport.com/release/pulsar/5570455"
"zalmanim-records","Zalmanim Records","2025-12-05","לְבָנָה - Levana","Simon Rose, Royal VegA","ZL0138","https://www.beatport.com/release/levana/5568549"
"zalmanim-records","Zalmanim Records","2025-11-28","Take Off","Ralmoon","ZL0134","https://www.beatport.com/release/take-off/5568551"
"zalmanim-records","Zalmanim Records","2025-11-07","Surface","Fape","ZL0135","https://www.beatport.com/release/surface/5449483"
"zalmanim-records","Zalmanim Records","2025-10-31","Velvet Noir","Simon Rose, Royal VegA","ZL0137","https://www.beatport.com/release/velvet-noir/5498027"
"zalmanim-records","Zalmanim Records","2025-10-24","Future Frequencies 2","Simon Rose, Gabriele Benvenuto, After Sunrise, Salvador, 2nd ID, Byrd, Jabba 2.3, TomDan, Vincent R, Luca Sirianni, Veleva","ZL0133","https://www.beatport.com/release/future-frequencies-2/5449484"
"zalmanim-records","Zalmanim Records","2025-10-10","BioDreams","Simon Rose","ZL0132","https://www.beatport.com/release/biodreams/5412085"
"zalmanim-records","Zalmanim Records","2025-09-05","Remember Who You Are","Byrd","ZL0131","https://www.beatport.com/release/remember-who-you-are/5229498"
"zalmanim-records","Zalmanim Records","2025-08-16","Eat Me","2nd ID","ZL0130","https://www.beatport.com/release/eat-me/5196714"
"zalmanim-records","Zalmanim Records","2025-08-08","Indie Believers","Jabba 2.3","ZL0129","https://www.beatport.com/release/indie-believers/5177508"
"zalmanim-records","Zalmanim Records","2025-07-25","Eh-Ahh","Salvador","ZL0127","https://www.beatport.com/release/eh-ahh/5147133"
"zalmanim-records","Zalmanim Records","2025-07-11","Triplet Trip","2nd ID, Clément Bequart","ZL0128","https://www.beatport.com/release/triplet-trip/5151070"
"zalmanim-records","Zalmanim Records","2025-07-04","Emotional Manipulation","Simon Rose","ZL0126","https://www.beatport.com/release/emotional-manipulation/5140734"
"zalmanim-records","Zalmanim Records","2025-06-27","Fragments of a Timeline","Simon Rose, TATA Box, Jad0","ZL0125","https://www.beatport.com/release/fragments-of-a-timeline/5123537"
"zalmanim-records","Zalmanim Records","2025-06-13","Joule","Gabriele Benvenuto","ZL00125","https://www.beatport.com/release/joule/5092645"
"zalmanim-records","Zalmanim Records","2025-05-23","Beyond","TomDan","ZL0124","https://www.beatport.com/release/beyond/5053353"
"zalmanim-records","Zalmanim Records","2025-05-16","Lotus","After Sunrise","ZL0119","https://www.beatport.com/release/lotus/5062508"
"zalmanim-records","Zalmanim Records","2025-04-25","The Smile","Simon Rose","ZL0123","https://www.beatport.com/release/the-smile/4972818"
"zalmanim-records","Zalmanim Records","2025-04-04","Future Frequencies","Byrd, Zaidman, PROUD WINNERS AGAIN, Oren Levi, Inspisica, Maor Azulay, Simon Rose, IDOR, Toi Toi, Vincent R, Jabba 2.3, Nicolas Nucci","ZL0122","https://www.beatport.com/release/future-frequencies/4973784"
"zalmanim-records","Zalmanim Records","2025-03-21","Think Again","2nd ID","ZL0121","https://www.beatport.com/release/think-again/4971582"
"zalmanim-records","Zalmanim Records","2025-03-14","Endless","Jabba 2.3","ZL0120","https://www.beatport.com/release/endless/4940968"
"zalmanim-records","Zalmanim Records","2025-03-07","Believe in Their Gods","PROUD WINNERS AGAIN","ZL0200","https://www.beatport.com/release/believe-in-their-gods/4931217"
"zalmanim-records","Zalmanim Records","2025-02-28","Come Play A.B.A","Zaidman","ZL0116","https://www.beatport.com/release/come-play-aba/4929317"
"zalmanim-records","Zalmanim Records","2025-01-31","I Only Need You","Byrd","ZL0118","https://www.beatport.com/release/i-only-need-you/4890255"
"zalmanim-records","Zalmanim Records","2025-01-24","Blinded by Lies","2nd ID","ZL0117","https://www.beatport.com/release/blinded-by-lies/4879942"
"zalmanim-records","Zalmanim Records","2025-01-17","Home","Simon Rose","ZL0114","https://www.beatport.com/release/home/4861533"
"zalmanim-records","Zalmanim Records","2025-01-03","Cold Room","Oren Levi","ZL0113","https://www.beatport.com/release/cold-room/4824121"
"zalmanim-records","Zalmanim Records","2024-12-13","Day Gone","Inspisica","ZL0112","https://www.beatport.com/release/day-gone/4807707"
"zalmanim-records","Zalmanim Records","2024-12-05","Transformation","Maor Azulay","ZL0111","https://www.beatport.com/release/transformation/4791443"
"zalmanim-records","Zalmanim Records","2024-11-22","Acid Origin","Jabba 2.3","ZL0108","https://www.beatport.com/release/acid-origin/4772880"
"zalmanim-records","Zalmanim Records","2024-11-15","The Tention","Simon Rose","ZL0110","https://www.beatport.com/release/the-tention/4787609"
"zalmanim-records","Zalmanim Records","2024-11-15","Sandstorm Serenade","IDOR, Toi Toi","ZL0109","https://www.beatport.com/release/sandstorm-serenade/4779809"
"zalmanim-records","Zalmanim Records","2024-11-08","Black Box for Emptiness","Rosenfears","ZL0107","https://www.beatport.com/release/black-box-for-emptiness/4767223"
"zalmanim-records","Zalmanim Records","2024-08-26","Neolithic Notes","Toi Toi","ZL0106","https://www.beatport.com/release/neolithic-notes/4709848"
"zalmanim-records","Zalmanim Records","2024-08-23","Something Else Matters","Simon Rose","ZL0105","https://www.beatport.com/release/something-else-matters/4691695"
"zalmanim-records","Zalmanim Records","2024-04-19","Postdisposition","TATA Box","ZL0102","https://www.beatport.com/release/postdisposition/4510135"
"zalmanim-records","Zalmanim Records","2024-04-12","Rebuild Yourself","Simon Rose","ZL0103","https://www.beatport.com/release/rebuild-yourself/4511741"
"zalmanim-records","Zalmanim Records","2024-04-05","Inner Self","2nd ID","ZL0101","https://www.beatport.com/release/inner-self/4516424"
"zalmanim-records","Zalmanim Records","2024-03-29","Dreams","Maor Azulay","ZL0100","https://www.beatport.com/release/dreams/4486382"
