"Catalog Number","Release Title","Pre-Order Date","Release Date",UPC,ISRC,"Original Artists","Original First-Last","Remix Artists","Remix First-Last","Track Title","Mix Title",Duration
SY0053,"Gods of Nothing",2026-02-16,2026-03-06,853567490094,US-83Z-26-08795,"Jellyfish Syndrome","Simon Rosenfeld",,,"Gods of Nothing","Original Mix",00:05:17
SY0050,StreamSoul,2026-01-07,2026-01-30,853567440532,US-83Z-26-00159,Arabesko,"Domenico Croce",,,StreamSoul,"Original Mix",00:06:49
SY0049,"Road Rage",2025-12-29,2026-01-16,853567432223,US-83Z-25-75088,"Jellyfish Syndrome","Simon Rosenfeld",,,"Road Rage","Original Mix",00:08:27
SY0045,Cataclisma,2025-11-11,2025-11-28,853567375681,US-83Z-25-65044,Alchemistry,"Victor Emmanuel Soledade Muniz",,,Cataclisma,"Original Mix",00:11:34
SY0045,Cataclisma,2025-11-11,2025-11-28,853567375681,US-83Z-25-65045,Alchemistry,"Victor Emmanuel Soledade Muniz",,,"Ancient Chant","Original Mix",00:08:23
SY0045,Cataclisma,2025-11-11,2025-11-28,853567375681,US-83Z-25-65046,Alchemistry,"Victor Emmanuel Soledade Muniz",,,"Fall Apart","Original Mix",00:09:19
SY0045,Cataclisma,2025-11-11,2025-11-28,853567375681,US-83Z-25-65047,Alchemistry,"Victor Emmanuel Soledade Muniz",,,"Do It Now","Original Mix",00:08:51
SY0045,Cataclisma,2025-11-11,2025-11-28,853567375681,US-83Z-25-65048,Alchemistry,"Victor Emmanuel Soledade Muniz","Jellyfish Syndrome","Simon Rosenfeld","Do It Now","Jellyfish Mix",00:09:03
SY0046,Moonshine,2025-11-11,2025-11-21,853567375735,US-83Z-25-65055,"Jellyfish Syndrome","Simon Rosenfeld",,,Moonshine,"Original Mix",00:08:39
SY0044,Replicated,2025-10-10,2025-11-01,853567337139,US-83Z-25-58700,"Jellyfish Syndrome","Simon Rosenfeld",,,Replicated,"Original Mix",00:08:14
SY0043,Undestructable,2025-09-29,2025-10-17,853567324139,US-83Z-25-56417,SiYu,"Hugh Val",,,Undestructable,"Original Mix",00:06:38
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,DE-ZN8-21-32949,"Skazka-Agada, Mime Time","Rubi Dervis, Daniel Golan",,,Aware,"Original mix",00:07:03
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-38489,Salvador,"Guy Doron",,,Eh-Ahh,"Trance Mix",00:04:41
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,DE-ZN8-23-42637,"TATA Box","Yuval Garty","2nd ID","Simon Rosenfeld",Ixion,"2nd ID Remix",00:08:36
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-29652,"Jellyfish Syndrome","Simon Rosenfeld",,,"Dark Water of Life","Original Mix",00:07:40
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-13579,Alchemistry,"Victor Emmanuel Soledade Muniz",,,"Life's Art","Original Mix",00:07:56
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-25804,"Jellyfish Syndrome","Simon Rosenfeld",Alchemistry,"Victor Emmanuel Soledade Muniz",1999,"Alchemistry Remix",00:09:22
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-28664,"Dubioza kolektiv","Adis Zvekic","Sefer Semir","Semir Sefer","One More Time","Sefer Semir Psytrance Remix",00:03:36
SY0042,"We Can See You",2025-09-19,2025-10-10,853567313195,US-83Z-25-16526,"Sefer Semir","Semir Sefer",,,Xenon,"Original Mix",00:04:32
